,level_0,index,Unnamed: 0,full_name,epoch,total_epochs_x,train_frac,frac_error,model_simple,name,path,model_folder,model,pretrain_dataset,downstream_dataset,samples_seen,steps,samples_seen_per_epoch,gflops,training_time_hours,total_epochs_y,samples_per_sec,samples_per_sec_per_gpu,global_batch_size,gpus,task,local_batch_size,warmup,lr,lr_scheduler,gpu_model,beta2,beta1,model_mparams,model_image_mparams,model_text_mparams,model_gflops,train_contrastive_loss,train_caption_loss,namespace,eval_type,gpu_hours,image_acc,text_acc,acc,main_metric,main_metric_value,acc1,acc5,mean_per_class_recall,image_retrieval_recall@5,text_retrieval_recall@5,cosine_distance,contrastive_loss,lp_acc1,lp_acc5,lp_mean_per_class_recall,weight_decay,epochs,seed,fewshot_k,normalized,caption_loss,name_epoch,model_folder_epoch,model_simple_namespace,samples_seen_scale_pretty,early_epoch
0,658,5907,7240,clip_ViT-M-32_s1.28B_datacomp_1b_globalbs16384_lr0.0015_b1_0.9_b2_0.95_sched_cosine_warmup10000_gpus64,20,20,1.0,0.90625,ViT-M-32,datacomp_s1.28B_bs_16384_ViT-M-32_ep20_lr0.0015_b1_0.9_b2_0.95_wd0.2_w10000_gc1_n16_bs256_sigFalse,/p/data1/mmlaion/experiments/autoexp/jjitsev/logs/datacomp_s1.28B_bs_16384_ViT-M-32_ep20_lr0.0015_b1_0.9_b2_0.95_wd0.2_w10000_gc1_n16_bs256_sigFalse/checkpoints/imagenet1k_epoch_20.pt_ViT-M-32_en_zeroshot_classification.json,/p/data1/mmlaion/experiments/autoexp/jjitsev/logs/datacomp_s1.28B_bs_16384_ViT-M-32_ep20_lr0.0015_b1_0.9_b2_0.95_wd0.2_w10000_gc1_n16_bs256_sigFalse,ViT-M-32,datacomp_1b,imagenet1k,1280000000,78125,64000000,12467200000.0,5.6152807706931815,20,63319.28358974359,989.3638060897435,16384,64,zeroshot_classification,256,10000,0.0015,cosine,NVIDIA-A100,0.95,0.9,103.12,39.69,63.43,9.74,0.8906,,clip,similarity,359.3779693243636,,,,acc1,0.5728,0.5728,0.83396,0.5728599999999999,,,,,,,,,,,,,,datacomp_s1.28B_bs_16384_ViT-M-32_ep20_lr0.0015_b1_0.9_b2_0.95_wd0.2_w10000_gc1_n16_bs256_sigFalse_20,/p/data1/mmlaion/experiments/autoexp/jjitsev/logs/datacomp_s1.28B_bs_16384_ViT-M-32_ep20_lr0.0015_b1_0.9_b2_0.95_wd0.2_w10000_gc1_n16_bs256_sigFalse_epoch_20,ViT-M-32_clip,1.28B,2
1,659,5927,7260,clip_ViT-M-32_s1.28B_datacomp_1b_globalbs16384_lr0.0015_b1_0.9_b2_0.95_sched_cosine_warmup15000_gpus64,20,20,1.0,0.90625,ViT-M-32,datacomp_s1.28B_bs_16384_ViT-M-32_ep20_lr0.0015_b1_0.9_b2_0.95_wd0.2_w15000_gc1_n16_bs256_sigFalse,/p/data1/mmlaion/experiments/autoexp/jjitsev/logs/datacomp_s1.28B_bs_16384_ViT-M-32_ep20_lr0.0015_b1_0.9_b2_0.95_wd0.2_w15000_gc1_n16_bs256_sigFalse/checkpoints/imagenet1k_epoch_20.pt_ViT-M-32_en_zeroshot_classification.json,/p/data1/mmlaion/experiments/autoexp/jjitsev/logs/datacomp_s1.28B_bs_16384_ViT-M-32_ep20_lr0.0015_b1_0.9_b2_0.95_wd0.2_w15000_gc1_n16_bs256_sigFalse,ViT-M-32,datacomp_1b,imagenet1k,1280000000,78125,64000000,12467200000.0,5.583823482969387,20,63676.00205128205,994.937532051282,16384,64,zeroshot_classification,256,15000,0.0015,cosine,NVIDIA-A100,0.95,0.9,103.12,39.69,63.43,9.74,0.86467,,clip,similarity,357.36470291004076,,,,acc1,0.569,0.569,0.83084,0.5692,,,,,,,,,,,,,,datacomp_s1.28B_bs_16384_ViT-M-32_ep20_lr0.0015_b1_0.9_b2_0.95_wd0.2_w15000_gc1_n16_bs256_sigFalse_20,/p/data1/mmlaion/experiments/autoexp/jjitsev/logs/datacomp_s1.28B_bs_16384_ViT-M-32_ep20_lr0.0015_b1_0.9_b2_0.95_wd0.2_w15000_gc1_n16_bs256_sigFalse_epoch_20,ViT-M-32_clip,1.28B,2
2,660,5947,7280,clip_ViT-M-32_s1.28B_datacomp_1b_globalbs16384_lr0.0015_b1_0.9_b2_0.95_sched_cosine_warmup4000_gpus64,20,20,1.0,0.90625,ViT-M-32,datacomp_s1.28B_bs_16384_ViT-M-32_ep20_lr0.0015_b1_0.9_b2_0.95_wd0.2_w4000_gc1_n16_bs256_sigFalse,/p/data1/mmlaion/experiments/autoexp/jjitsev/logs/datacomp_s1.28B_bs_16384_ViT-M-32_ep20_lr0.0015_b1_0.9_b2_0.95_wd0.2_w4000_gc1_n16_bs256_sigFalse/checkpoints/imagenet1k_epoch_20.pt_ViT-M-32_en_zeroshot_classification.json,/p/data1/mmlaion/experiments/autoexp/jjitsev/logs/datacomp_s1.28B_bs_16384_ViT-M-32_ep20_lr0.0015_b1_0.9_b2_0.95_wd0.2_w4000_gc1_n16_bs256_sigFalse,ViT-M-32,datacomp_1b,imagenet1k,1280000000,78125,64000000,12467200000.0,5.6249119420952995,20,63210.86609279609,987.6697826999389,16384,64,zeroshot_classification,256,4000,0.0015,cosine,NVIDIA-A100,0.95,0.9,103.12,39.69,63.43,9.74,0.89301,,clip,similarity,359.99436429409917,,,,acc1,0.57058,0.57058,0.8325,0.5704400000000001,,,,,,,,,,,,,,datacomp_s1.28B_bs_16384_ViT-M-32_ep20_lr0.0015_b1_0.9_b2_0.95_wd0.2_w4000_gc1_n16_bs256_sigFalse_20,/p/data1/mmlaion/experiments/autoexp/jjitsev/logs/datacomp_s1.28B_bs_16384_ViT-M-32_ep20_lr0.0015_b1_0.9_b2_0.95_wd0.2_w4000_gc1_n16_bs256_sigFalse_epoch_20,ViT-M-32_clip,1.28B,2
3,661,5967,7300,clip_ViT-M-32_s1.28B_datacomp_1b_globalbs16384_lr0.001_b1_0.9_b2_0.95_sched_cosine_warmup10000_gpus64,20,20,1.0,0.90625,ViT-M-32,datacomp_s1.28B_bs_16384_ViT-M-32_ep20_lr0.001_b1_0.9_b2_0.95_wd0.2_w10000_gc1_n16_bs256_sigFalse,/p/data1/mmlaion/experiments/autoexp/jjitsev/logs/datacomp_s1.28B_bs_16384_ViT-M-32_ep20_lr0.001_b1_0.9_b2_0.95_wd0.2_w10000_gc1_n16_bs256_sigFalse/checkpoints/imagenet1k_epoch_20.pt_ViT-M-32_en_zeroshot_classification.json,/p/data1/mmlaion/experiments/autoexp/jjitsev/logs/datacomp_s1.28B_bs_16384_ViT-M-32_ep20_lr0.001_b1_0.9_b2_0.95_wd0.2_w10000_gc1_n16_bs256_sigFalse,ViT-M-32,datacomp_1b,imagenet1k,1280000000,78125,64000000,12467200000.0,5.576914964313519,20,63754.88201465201,996.1700314789376,16384,64,zeroshot_classification,256,10000,0.001,cosine,NVIDIA-A100,0.95,0.9,103.12,39.69,63.43,9.74,0.85953,,clip,similarity,356.9225577160652,,,,acc1,0.57204,0.57204,0.83338,0.57224,,,,,,,,,,,,,,datacomp_s1.28B_bs_16384_ViT-M-32_ep20_lr0.001_b1_0.9_b2_0.95_wd0.2_w10000_gc1_n16_bs256_sigFalse_20,/p/data1/mmlaion/experiments/autoexp/jjitsev/logs/datacomp_s1.28B_bs_16384_ViT-M-32_ep20_lr0.001_b1_0.9_b2_0.95_wd0.2_w10000_gc1_n16_bs256_sigFalse_epoch_20,ViT-M-32_clip,1.28B,2
4,662,5987,7320,clip_ViT-M-32_s1.28B_datacomp_1b_globalbs16384_lr0.001_b1_0.9_b2_0.95_sched_cosine_warmup15000_gpus64,20,20,1.0,0.90625,ViT-M-32,datacomp_s1.28B_bs_16384_ViT-M-32_ep20_lr0.001_b1_0.9_b2_0.95_wd0.2_w15000_gc1_n16_bs256_sigFalse,/p/data1/mmlaion/experiments/autoexp/jjitsev/logs/datacomp_s1.28B_bs_16384_ViT-M-32_ep20_lr0.001_b1_0.9_b2_0.95_wd0.2_w15000_gc1_n16_bs256_sigFalse/checkpoints/imagenet1k_epoch_20.pt_ViT-M-32_en_zeroshot_classification.json,/p/data1/mmlaion/experiments/autoexp/jjitsev/logs/datacomp_s1.28B_bs_16384_ViT-M-32_ep20_lr0.001_b1_0.9_b2_0.95_wd0.2_w15000_gc1_n16_bs256_sigFalse,ViT-M-32,datacomp_1b,imagenet1k,1280000000,78125,64000000,12467200000.0,5.611379852442077,20,63363.301880341874,990.0515918803418,16384,64,zeroshot_classification,256,15000,0.001,cosine,NVIDIA-A100,0.95,0.9,103.12,39.69,63.43,9.74,0.88207,,clip,similarity,359.12831055629294,,,,acc1,0.57304,0.57304,0.83298,0.57314,,,,,,,,,,,,,,datacomp_s1.28B_bs_16384_ViT-M-32_ep20_lr0.001_b1_0.9_b2_0.95_wd0.2_w15000_gc1_n16_bs256_sigFalse_20,/p/data1/mmlaion/experiments/autoexp/jjitsev/logs/datacomp_s1.28B_bs_16384_ViT-M-32_ep20_lr0.001_b1_0.9_b2_0.95_wd0.2_w15000_gc1_n16_bs256_sigFalse_epoch_20,ViT-M-32_clip,1.28B,2
5,663,6007,7340,clip_ViT-M-32_s1.28B_datacomp_1b_globalbs16384_lr0.001_b1_0.9_b2_0.95_sched_cosine_warmup4000_gpus64,20,20,1.0,0.90625,ViT-M-32,datacomp_s1.28B_bs_16384_ViT-M-32_ep20_lr0.001_b1_0.9_b2_0.95_wd0.2_w4000_gc1_n16_bs256_sigFalse,/p/data1/mmlaion/experiments/autoexp/jjitsev/logs/datacomp_s1.28B_bs_16384_ViT-M-32_ep20_lr0.001_b1_0.9_b2_0.95_wd0.2_w4000_gc1_n16_bs256_sigFalse/checkpoints/imagenet1k_epoch_20.pt_ViT-M-32_en_zeroshot_classification.json,/p/data1/mmlaion/experiments/autoexp/jjitsev/logs/datacomp_s1.28B_bs_16384_ViT-M-32_ep20_lr0.001_b1_0.9_b2_0.95_wd0.2_w4000_gc1_n16_bs256_sigFalse,ViT-M-32,datacomp_1b,imagenet1k,1280000000,78125,64000000,12467200000.0,5.605285243937358,20,63432.1965934066,991.1280717719782,16384,64,zeroshot_classification,256,4000,0.001,cosine,NVIDIA-A100,0.95,0.9,103.12,39.69,63.43,9.74,0.90919,,clip,similarity,358.7382556119909,,,,acc1,0.57216,0.57216,0.83372,0.572,,,,,,,,,,,,,,datacomp_s1.28B_bs_16384_ViT-M-32_ep20_lr0.001_b1_0.9_b2_0.95_wd0.2_w4000_gc1_n16_bs256_sigFalse_20,/p/data1/mmlaion/experiments/autoexp/jjitsev/logs/datacomp_s1.28B_bs_16384_ViT-M-32_ep20_lr0.001_b1_0.9_b2_0.95_wd0.2_w4000_gc1_n16_bs256_sigFalse_epoch_20,ViT-M-32_clip,1.28B,2
6,664,6027,7360,clip_ViT-M-32_s1.28B_datacomp_1b_globalbs16384_lr0.002_b1_0.9_b2_0.95_sched_cosine_warmup10000_gpus64,20,20,1.0,0.90625,ViT-M-32,datacomp_s1.28B_bs_16384_ViT-M-32_ep20_lr0.002_b1_0.9_b2_0.95_wd0.2_w10000_gc1_n16_bs256_sigFalse,/p/data1/mmlaion/experiments/autoexp/jjitsev/logs/datacomp_s1.28B_bs_16384_ViT-M-32_ep20_lr0.002_b1_0.9_b2_0.95_wd0.2_w10000_gc1_n16_bs256_sigFalse/checkpoints/imagenet1k_epoch_20.pt_ViT-M-32_en_zeroshot_classification.json,/p/data1/mmlaion/experiments/autoexp/jjitsev/logs/datacomp_s1.28B_bs_16384_ViT-M-32_ep20_lr0.002_b1_0.9_b2_0.95_wd0.2_w10000_gc1_n16_bs256_sigFalse,ViT-M-32,datacomp_1b,imagenet1k,1280000000,78125,64000000,12467200000.0,5.595398442240574,20,63544.27825396825,992.8793477182539,16384,64,zeroshot_classification,256,10000,0.002,cosine,NVIDIA-A100,0.95,0.9,103.12,39.69,63.43,9.74,0.93344,,clip,similarity,358.10550030339675,,,,acc1,0.5701,0.5701,0.8305,0.5702,,,,,,,,,,,,,,datacomp_s1.28B_bs_16384_ViT-M-32_ep20_lr0.002_b1_0.9_b2_0.95_wd0.2_w10000_gc1_n16_bs256_sigFalse_20,/p/data1/mmlaion/experiments/autoexp/jjitsev/logs/datacomp_s1.28B_bs_16384_ViT-M-32_ep20_lr0.002_b1_0.9_b2_0.95_wd0.2_w10000_gc1_n16_bs256_sigFalse_epoch_20,ViT-M-32_clip,1.28B,2
7,665,6047,7380,clip_ViT-M-32_s1.28B_datacomp_1b_globalbs16384_lr0.002_b1_0.9_b2_0.95_sched_cosine_warmup15000_gpus64,20,20,1.0,0.90625,ViT-M-32,datacomp_s1.28B_bs_16384_ViT-M-32_ep20_lr0.002_b1_0.9_b2_0.95_wd0.2_w15000_gc1_n16_bs256_sigFalse,/p/data1/mmlaion/experiments/autoexp/jjitsev/logs/datacomp_s1.28B_bs_16384_ViT-M-32_ep20_lr0.002_b1_0.9_b2_0.95_wd0.2_w15000_gc1_n16_bs256_sigFalse/checkpoints/imagenet1k_epoch_20.pt_ViT-M-32_en_zeroshot_classification.json,/p/data1/mmlaion/experiments/autoexp/jjitsev/logs/datacomp_s1.28B_bs_16384_ViT-M-32_ep20_lr0.002_b1_0.9_b2_0.95_wd0.2_w15000_gc1_n16_bs256_sigFalse,ViT-M-32,datacomp_1b,imagenet1k,1280000000,78125,64000000,12467200000.0,5.625716186199005,20,63201.82956043955,987.528586881868,16384,64,zeroshot_classification,256,15000,0.002,cosine,NVIDIA-A100,0.95,0.9,103.12,39.69,63.43,9.74,0.93428,,clip,similarity,360.04583591673634,,,,acc1,0.57102,0.57102,0.83256,0.57108,,,,,,,,,,,,,,datacomp_s1.28B_bs_16384_ViT-M-32_ep20_lr0.002_b1_0.9_b2_0.95_wd0.2_w15000_gc1_n16_bs256_sigFalse_20,/p/data1/mmlaion/experiments/autoexp/jjitsev/logs/datacomp_s1.28B_bs_16384_ViT-M-32_ep20_lr0.002_b1_0.9_b2_0.95_wd0.2_w15000_gc1_n16_bs256_sigFalse_epoch_20,ViT-M-32_clip,1.28B,2
8,666,6067,7400,clip_ViT-M-32_s1.28B_datacomp_1b_globalbs16384_lr0.002_b1_0.9_b2_0.95_sched_cosine_warmup4000_gpus64,20,20,1.0,0.90625,ViT-M-32,datacomp_s1.28B_bs_16384_ViT-M-32_ep20_lr0.002_b1_0.9_b2_0.95_wd0.2_w4000_gc1_n16_bs256_sigFalse,/p/data1/mmlaion/experiments/autoexp/jjitsev/logs/datacomp_s1.28B_bs_16384_ViT-M-32_ep20_lr0.002_b1_0.9_b2_0.95_wd0.2_w4000_gc1_n16_bs256_sigFalse/checkpoints/imagenet1k_epoch_20.pt_ViT-M-32_en_zeroshot_classification.json,/p/data1/mmlaion/experiments/autoexp/jjitsev/logs/datacomp_s1.28B_bs_16384_ViT-M-32_ep20_lr0.002_b1_0.9_b2_0.95_wd0.2_w4000_gc1_n16_bs256_sigFalse,ViT-M-32,datacomp_1b,imagenet1k,1280000000,78125,64000000,12467200000.0,5.598961517538408,20,63503.83985347985,992.2474977106226,16384,64,zeroshot_classification,256,4000,0.002,cosine,NVIDIA-A100,0.95,0.9,103.12,39.69,63.43,9.74,0.91282,,clip,similarity,358.3335371224581,,,,acc1,0.57084,0.57084,0.83284,0.5708199999999999,,,,,,,,,,,,,,datacomp_s1.28B_bs_16384_ViT-M-32_ep20_lr0.002_b1_0.9_b2_0.95_wd0.2_w4000_gc1_n16_bs256_sigFalse_20,/p/data1/mmlaion/experiments/autoexp/jjitsev/logs/datacomp_s1.28B_bs_16384_ViT-M-32_ep20_lr0.002_b1_0.9_b2_0.95_wd0.2_w4000_gc1_n16_bs256_sigFalse_epoch_20,ViT-M-32_clip,1.28B,2
9,667,6087,7420,clip_ViT-M-32_s1.28B_datacomp_1b_globalbs90624_lr0.001_b1_0.9_b2_0.95_sched_cosine_warmup10000_gpus256,20,20,1.0,0.90625,ViT-M-32,datacomp_s1.28B_bs_90624_ViT-M-32_ep20_lr0.001_b1_0.9_b2_0.95_wd0.2_w10000_gc1_n64_bs354_sigFalse,/p/data1/mmlaion/experiments/autoexp/jjitsev/logs/datacomp_s1.28B_bs_90624_ViT-M-32_ep20_lr0.001_b1_0.9_b2_0.95_wd0.2_w10000_gc1_n64_bs354_sigFalse/checkpoints/imagenet1k_epoch_20.pt_ViT-M-32_en_zeroshot_classification.json,/p/data1/mmlaion/experiments/autoexp/jjitsev/logs/datacomp_s1.28B_bs_90624_ViT-M-32_ep20_lr0.001_b1_0.9_b2_0.95_wd0.2_w10000_gc1_n64_bs354_sigFalse,ViT-M-32,datacomp_1b,imagenet1k,1280000000,14124,64000000,12467200000.0,1.613989292315459,20,220296.10558659217,860.5316624476256,90624,256,zeroshot_classification,354,10000,0.001,cosine,NVIDIA-A100,0.95,0.9,103.12,39.69,63.43,9.74,2.1693,,clip,similarity,413.1812588327575,,,,acc1,0.5302,0.5302,0.79656,0.53044,,,,,,,,,,,,,,datacomp_s1.28B_bs_90624_ViT-M-32_ep20_lr0.001_b1_0.9_b2_0.95_wd0.2_w10000_gc1_n64_bs354_sigFalse_20,/p/data1/mmlaion/experiments/autoexp/jjitsev/logs/datacomp_s1.28B_bs_90624_ViT-M-32_ep20_lr0.001_b1_0.9_b2_0.95_wd0.2_w10000_gc1_n64_bs354_sigFalse_epoch_20,ViT-M-32_clip,1.28B,2
